#Science and Technology Committee 
#Oral evidence: Social media data and real time analytics, HC 245 Wednesday 18 June 2014 
#Ordered by the House of Commons to be published on 18 June 2014. Written evidence from witnesses: 
#– Digital Science 
#– Alliance for Useful Evidence/Demos/David Omand 
#– techUK 
#– Consumer Data Research Centre, University of Leeds 
#– Universities of East London and Birmingham 
#– University of Cambridge Watch the meeting 
#Members present: Andrew Miller (Chair); Jim Dowd; Mr David Heath; Stephen Metcalfe; Stephen Mosley; Pamela Nash; Graham Stringer; David Tredinnick 
#Questions 1-79 
#Witnesses: Timo Hannay, Managing Director, Digital Science, Carl Miller, Research Director, Centre for the Analysis of Social Media, Demos, and Sureyya Cansoy, Director, Tech for Business and Consumer Programmes, techUK, gave evidence.
question|person|oralEvidence
Q5|Chair|Moving on to public perceptions, a couple of papers ran the headline this morning, “GCHQ are snooping on your Facebook site”—shock, horror! How aware are the public of how data is being collected about them? 
Q5|Carl Miller|There really is the potential for a looming consumer crisis around the private sector use of social media data. Demos has done quite a lot of research into public attitudes in the UK, and a paper called “The Data Dialogue” was published a few years ago. It is fair to say that most people have some awareness of the fact that their social media data is being taken up, but it is impossible for them to have a specific awareness—I don’t, and I work in the field—because technology, and therefore what is possible, is moving forward so quickly, but there is a growing sense of unease everywhere. 
Q5|Carl Miller|Between 60% and 90% of people questioned about specific uses of social media data are uneasy about how it is currently happening. The reason that this is the case, we think, is that people are not given enough choice about the specific deals that they can strike with data controllers about how their data is used. At the moment, you either use Twitter or you do not; you either use Facebook or you do not; but underlying that is a real diversity of views among the public about what counts as intrusion, what value they think they should get from their data and how happy they are for people to use it. Probably 30% of people are non-sharers; they do not want their data to be used at all. You have 8% who we call enthusiastic sharers, who see no real problem in people using their data however they wish. Between, there are different shades of grey—pragmatists or value seekers, who are looking for value in exchange. At the moment, they do not see that value; they do not see that they are getting the right amount of value for the value they see in their data. 
Q5|Carl Miller|This is somewhere the Government can do a lot of good, helping to create a new consumer rights regime around data, with kitemarks and clearer terms of service. If we do not see a more consumer-friendly regime being implemented, we could see significant and systematic withdrawal of consent from people about social media use. We are already seeing social media sites lean towards becoming more and more private, with Facebook profiles becoming more and more closed. For me, as a researcher, that is incredibly concerning, because the value—the innovation—is in having the data public, in having it accessible and allowing people to innovate in finding uses for it. 
Q5|Carl Miller|Sureyya Cansoy: From the techUK perspective, the technology industry is very aware of the need to reassure the public about the privacy and security of their data. What Carl said is correct; there is some awareness among individuals of how their data may be used through social media, but perhaps not full awareness. I would like to mention a specific initiative that techUK is actively involved in, which we think will make a positive contribution to the debate. You may be aware of the Information Economy Council, a body that brings together Government, industry and academia to drive the information economy in the UK. It is co-chaired by the Government and the techUK president. One of the key initiatives that the Information Economy Council is looking at, in which techUK plays a priority role, is creating a set of data principles to address how we can reassure consumers in this new digital age without losing the opportunity to get the most out of technological innovations. 
Q6|Chair|Do you mean reassure, or do you mean demonstrate that there is a commercial advantage to them? 
Q6|Sureyya Cansoy|I think it is both. There is a reassuring element in it, but we are in the early days of putting it together. The work is led by the Connected Digital Economy Catapult, with strong support from techUK and others in the industry. It is very much an industry initiative, proactively saying that trust and confidence are important, and that we need to get that right. They are currently working on an initial set of principles, covering areas such as access, control, transparency and simplicity of message, which play into how aware consumers are of how their data is being used. We are currently consulting on those, and we think that they will be ready later this year, but it is important for us to show that the industry thinks it is an important issue to get right. The other important point to keep in mind is the balance between respecting people’s privacy and ensuring the security of their data, and making sure that we can take full advantage of technological innovation. 
Q6|Sureyya Cansoy|If I may, I will comment briefly on the point about the news this morning. We need to be clear about the interception of social media, which is what the news was about today, and the use of social media analytics, which in the large majority of cases is based on anonymised data, to come up with insights into general behaviours and patterns—what people want from products and services and so on. We need to be quite clear that they are two different things. We should not mix security laws with privacy considerations. Both need to be legislated for properly, and laws on them need to be complied with by companies, but we think they are separate issues and considerations. Security is absolutely essential for a free society and an open economy. However, it needs to be done in such a way that there is appropriate oversight and scrutiny around it. We think that is a matter for Parliament and the Government; the companies who are members of techUK always comply with the laws of the countries where they operate. 
Q6|Timo Hannay|I want to make a couple of points to add to what my co-panellists said. I completely agree with what Carl said earlier about the fact that users of social media need to be better informed, and I agree that even those of us who are closely involved in it sometimes do not understand all the implications of what is going on. Equally, we as users of that kind of data, and the companies that are gathering it, need to understand what user and consumer expectations are, and therefore what best practice is. I shall give a simple example. 
Q6|Timo Hannay|We take a datafeed from Twitter and use that to see what attention is being paid to the online scientific literature. If someone were to delete a tweet, Twitter’s system would immediately tell us and it would get deleted from our system as well. That seems to me to be consistent with what I would expect as a user of Twitter and, in that particular regard, it constitutes best practice. There is a useful role to be played in understanding what user and consumer expectations are, and in setting best practice standards on how we should handle the data. 
Q6|Timo Hannay|I reiterate briefly that it is very context-specific. When we talk about the use of social media data, often the case that we have in mind is using discussions I may have with my friends online to sell me something. That is very different from some uses, and I consider our use of it to be an example; people who are engaged in online discussions about scientific literature and scientific results want to engage in a global discussion, and we are trying to make that information more visible. There are what I would hopefully characterise as relatively uncontroversial uses of this kind of data and slightly more controversial uses, and we need to distinguish the two. 
Q6|Carl Miller|I have two quick points. The first is that there is a really baffling incoherence between people’s stated views when you do surveys and what they actually do. People say that they are concerned about supermarket loyalty cards, yet they sign up to them in their millions. It is the same with social media. People say that they are concerned about it, yet more and more people continue to sign up to these sites and use them. This is something not very well known about the detail of people’s everyday lives; we don’t know how concerned they are, outside the explicit polling type of setting. 
Q6|Carl Miller|Point two is that the most concerning part of the whole data uses industry is third-party data use. This is the bit where people say—again, pinch of salt—that they are most concerned not about the social media platforms using it but how it gets taken to those more mysterious and, to them, shadowy worlds, where people take their data and sell it, resell it and sell it again, packaging it up and selling it again. This is the bit that they know least about and the bit that they are most concerned about, because they cannot actually judge what the implications of this industry are for their privacy. 
Q6|Carl Miller|It is clear when you know that someone is reading your tweets and may be analysing them, but what about when a third-party sophisticated data broker using technology that you cannot understand is packaging your social media data with loads of other kinds of data about you, perhaps to create a detailed profile that will then be sold to advertisers or political parties? It is that third-party use where there is the least amount of public awareness and the highest amount of public concern. 
Q6|Timo Hannay|And none of us fully understands the implications of that—even the people who are experts. 
Q6|Carl Miller|We are struggling with it. 
Q6|Timo Hannay|We don’t know where it is going to lead. 
Q7|Chair|I have warned some of my colleagues about the things that they sometimes tweet. 
Q7|Stephen Metcalfe|I want to go back for a moment to the value question about all this data. Some wild figures are being thrown around. One is that the UK will benefit by £216 billion by 2017 and that it would support 58,000 jobs, but that is about £3.7 million per job. Is that a realistic figure, or is it lots of doubling up, with the same data going round and round? 
Q7|Sureyya Cansoy|I believe that that is from a CEBR study, the first study on big data in the UK and its economic value. It sounds realistic, because it is not only talking about it from our perspective. It not only talks about the data analytics tools of the technology industry and the revenues that they get from selling those tools and services to their customers; it also talks about how those tools then help the customers to achieve efficiencies in their businesses, and about achieving better innovation and creating new businesses. I have not looked at the numbers in detail, but when you think about the impact that big data analytics will have, it is not in one specific part of the industry but across the economy. With that in mind, it is quite possible. I think that number is cumulative; it is between 2012 and 2017, a four or five-year period, which is about £40 billion per annum, give or take. 
Q7|Timo Hannay|I cannot speak to those figures specifically; I can only speak anecdotally about our businesses and our opportunities. There are big opportunities. If we look in the area of scientific information and research evaluation, the established business is worth hundreds of millions of pounds worldwide in that one area. It is going to be revolutionised by the use of online data, including social media data but not limited to that. Through businesses like Altmetric, the UK is already taking a leading role. We are ahead of the curve compared with our competitors and colleagues on the other side of the Atlantic and elsewhere in Europe. 
Q7|Timo Hannay|There is a huge opportunity. The businesses that we run are early stage but growing rapidly, so we will have three times more staff at Altmetric at the end of the year than we had at the beginning, with about five times the revenue. It is from a low base, but it holds huge promise. It is important, and it is a source of huge economic value, quite apart from the fact that the usage that we are making of the data is itself trying to support scientific endeavour, which of course supports economic growth and other forms of social and intellectual progress. 
Q7|Carl Miller|The main value that we see in real-time social media analysis is in social research. For us, the growth of all this data in social media is the datafication of social life. It is the first time that all the things that happen everywhere in society have come together in a way that is inherently amenable to analysis and collection. 
Q7|Carl Miller|The commercial social research market is valued at about £3 billion to £7 billion a year, depending on how you value it. Real-time social media analysis, and even just social media analysis, has had strikingly little impact on this market up to now. Ten of the largest providers in that market account for about 6% of the total value. Social media research is a very small part of their business, so what we have seen is a growth underneath that, which is social media only—analytics companies, dashboards and so on. These have had a great impact on marketing and advertising in a few specific fields, but little wider impact throughout the whole of the business area of social research. That points to an important disjuncture, which is happening currently: social media is not having an even impact across either the private economy or across the whole of society. 
Q7|Carl Miller|At the moment, a few fields are completely redrawing their business models on the basis of the exposure of this data, but within civic society and especially within Government we have seen very little innovation indeed. There is so much more value that can be got from Government and the civil service using all of this incredibly valuable data, because of the many things that they do. Every Department has a stake in understanding what people think, and that is not currently happening. There is much more that the Government can do to support innovations in the public sector, helping to take the skills out of these concentrated little hubs of expertise and technological capability and moving them to companies, civic society, charities and people working for the social good, to allow them to get value out of this too. 
Q8|Stephen Metcalfe|Despite what the Government are saying about adopting big data as one of their A-grade technologies, you are saying that it is not happening. 
Q8|Carl Miller|It is not being used by the public sector. We have seen a visible increase in support for this within academia. In the “Eight Great Technologies” paper, I notice that social media is not mentioned as a distinct discipline. That is slightly worrying, because in my eyes it is a distinct discipline. It does not just come under the umbrella of big data; it is a new academic field and a new discipline within research, and, in my view, it should be a new profession in the civil service. It does not yet have that coherent body of expertise, so we are not seeing it emerge as a distinct and coherent community, a distinct and coherent set of skills or a body of technologies. At the moment, a sprinkling of practice is happening in disparate areas across the economy. 
Q9|Stephen Metcalfe|You do not share Mr Hannay’s optimism about Britain being well placed to make much of this. 
Q9|Carl Miller|I think that we are. My experience in the EU, where we certainly have a strong higher education sector and lively tech innovation hubs, is that we are considered leaders. But the UK can take a step forward to bring together all the expertise that happens into something more coherent and more disciplinary, more recognisable as social media science or a social media analytics discipline. That is what we are lacking, in my view. 
Q9|Timo Hannay|There is absolutely a skills gap. It is not limited to the public sector, which you are more expert on than I am. Today, we constantly have unfilled technical positions; we need people who can bridge the divide between computer programming, data analytics and, in our case, scientific research and research evaluation, and that is a challenge. Admittedly, we are in a particular scientific software niche, but the changes that we are talking about apply to scientific research generally. We need researchers who are more expert in data analytics and computer programming. It is changing every domain of society, so I completely agree with what Carl has been saying. There is a skills gap; we see it and feel it, and it is evident in other areas too. 
Q9|Stephen Metcalfe|I think we are going to come back to that. 
Q9|Sureyya Cansoy|I support that view. Talking to techUK member companies that provide these tools, the anecdotes that they tell us show that they believe the take-up of such tools is relatively strong in the private sector, particularly in sectors such as retail, retail banking and transport, but they think that take-up by the public sector is low. The UK Government have come up with a number of encouraging initiatives around open data and big data. However, I echo what Carl said; so far, in our view, they have not really used the full potential of social media analytics, or big data analytics broadly speaking, for the benefit of the public sector in delivering better services, and more effective and efficient services, to people. 
Q9|Sureyya Cansoy|I assume that we will come back to the skills question, but we also agree with the comments on the skills gap. I will leave it at that until we come back to it. 
Q10|Stephen Metcalfe|On the public sector issue, do you see any improvement? 
Q10|Carl Miller|There are courageous civil servants in most Departments who are trying to innovate in this area. They believe in evidence-based policymaking; they see all this new evidence and want to learn how to use it, but there is not the technology or skills within the civil service. I genuinely believe that they are not being supported in how to innovate by senior leadership in some Departments. In my view, the civil service has to react to this. There need to be defined experts. 
Q11|Stephen Metcalfe|I understand that. 
Q11|Timo Hannay|Could I comment briefly on the subject of Government? In some ways this is only tangentially related to social media, but we use Government information and we welcome open Government data. It is incredibly valuable, and a driver of innovation and progress, but Government can learn things from some of the social media companies in the way they release data. For example, we index Government policy documents from the NHS, the WHO, the IPCC and so forth, but it is a lot harder to deal with than our datafeed from Twitter. There are some things that the Government can learn from those kinds of organisations and the way they make data available to organisations like us. 
Q12|Stephen Metcalfe|I have one final question, Chair, because I am very conscious that time marches on. From what I gather, the one measure that would improve the UK’s prospects of making the most of this would be to get the public sector more engaged with using this technology. 
Q12|Sureyya Cansoy|Yes. 
Q13|Stephen Metcalfe|Does it make any difference to the fact that this data is being held by American-based companies as opposed to UK-based companies? Is that a barrier to us making the most of it? 
Q13|Sureyya Cansoy|I do not believe so. The social media world is very much a global one. The data can be obtained in a number of ways, but I guess that there are two common ones. One is using the analytic tools and software available to analyse publicly available data. Because some of the social media data is publicly available, it can be analysed anonymously and collectively to come up with insights about trends and so on, and not necessarily about individuals. Another way that it can be done is by purchasing anonymised datasets from the companies in question. Having spoken to our members, I think that they make a lot of use of openly and publicly available data, and to a degree they purchase some of the anonymised data, but I believe that the cost may be a barrier for some businesses. 
Q13|Timo Hannay|I don’t think there is a particular issue with whether the companies are American or British, or from anywhere else. For us, the issue is more around the degree of competition and choice. For us, as data consumers and users, the question is: can we access this data from a number of sources, do we have choices, and even more important for the consumer and users is do they have a choice? That, for me, is much more of an issue than the nationality of the business. 
Q13|Carl Miller|For researchers and academic tech innovators, there is an issue around collective bargaining, as they often do not have the budgets to allow them to acquire data in the way that private companies do. The Economic and Social Research Council was going to put out a particular call on social media that would allow that kind of stuff to happen—to allow the UK higher education community to come together collectively to bargain with the social media companies. Disappointingly, that has not come about yet; lots of universities would like a little more help in acquiring some of this data. 
Q14|Graham Stringer|Will the right to be forgotten affect the way that you do business? Will it affect your companies? 
Q14|Sureyya Cansoy|I shall respond from the tech industry perspective as briefly as I can. In terms of the whole debate around the right to be forgotten, there are two angles. There is the recent European Court of Justice Google ruling, requiring the search engine to remove links to certain data if requested by an individual. The second one is in the proposed EU data protection regulation, where I believe there is a new clause that deals with the right to be forgotten. 
Q14|Sureyya Cansoy|We understand that it is an issue for consumers, particularly in the social media context, where younger people may want to remove certain data as they get older or move into professional life and so on. However, I have been looking at the European Court of Justice ruling on Google, and we think that there are a number of practical challenges with it, and we do not think it is the right mechanism to deal with what it is trying to address. In the interests of time I shall not go into detail, but the fact that it only removes the search link to the data and not the data itself is a major drawback; and another is the fact that somebody needs to make a decision about whether the information is in the public interest and should be retained, or whether the link should be removed. There are a number of other challenges around, but in the interests of time those are some of the key ones. 
Q15|Graham Stringer|I may not understand the arguments, but I understand the issues involved. What I really want to know is whether it will affect your businesses at all. 
Q15|Timo Hannay|We do not see it as particularly affecting our business. We want to be able to abide by any reasonable requests that users may make to remove things. I gave the example earlier that if you delete a tweet it gets deleted from our system automatically. That is a simple example of the same sort of thing. However, removing all information from the internet is difficult, needless to say, so we have to be pragmatic about it. What we will see over inevitably a long period of time, I hope, is that attitudes to this kind of information—things that people may post that they regret later, for example—will be considered more normal, because most of us will have fallen victim to it at one time or another, so the right for it to be forgotten may ultimately be overtaken by the right for it to be forgiven. In practice, it is difficult to completely remove all information from a global online network. That is a pragmatic point. 
Q16|Graham Stringer|You talk regularly—it is the basis of your business—about having access to lots of social media data. Doesn’t that data belong to the websites themselves—to Twitter and Facebook? 
Q16|Timo Hannay|Yes, so we license it from them. 
Q16|Carl Miller|It still belongs to the user, technically, so it is the users’ data that they have licensed to social media platforms, essentially to be able to use how they want. Basically, we acquire it from them but it is still owned by them. 
Q16|Sureyya Cansoy|My understanding is that, in the majority of cases, the data provided are large sets of anonymised data. Once data is anonymised at that scale, it is no longer subject to data protection rules and constraints, because a person is not identifiable by the data. I believe that the Information Commissioner’s Office made a useful submission to your Committee, highlighting some of those issues. In terms of personal data, yes, of course it belongs to the individual; however, anonymised data provided at that scale is different from personal data. 
Q16|Timo Hannay|To be clear, the data that we and others access does include information about, for example, your Twitter ID. It is the same information that you would find on the public Twitter website, but it is available in a machine-readable format that we can use and analyse. We can therefore link to users’ Twitter accounts, for instance when users have commented on a particular research article. It is pseudonymous in the sense that you have no information other than their identity and their self-description on the system—you do not necessarily know who they are—but it is not completely anonymous in the sense that it is aggregated and you cannot tell one user from another. 
Q16|Carl Miller|I have one quick point about data availability. There is a massive inconsistency between platforms about what data is available. Twitter is the only social media platform that currently has its own “ology”—its own body of study about it—and that is because it has made its data much more available than nearly any other platform. Realistically, if you are looking at one of the services that bring in all the data that is conceivably available and make it accessible to people to use, 60% to 70% of the entire ecosystem will be Twitter. Facebook is much more difficult to acquire data from; there are many more privacy implications with it. It is not actually part of Facebook’s business model to make its data available in the same way. It is an advertising company fundamentally, not a data science company. 
Q16|Timo Hannay|Of course, we make use of the data under licence terms with those companies, so they will put certain restrictions on what we may and may not do with the data. Among other things, that will help them fulfil their obligations to their users under the terms of use on their website. 
Q16|Sureyya Cansoy|In addition to complying with the necessary laws and regulations, an increasing number of companies are concerned about ethics questions. It is not only “Can I actually do this under the law?”, but “Should I do this? Is it a fair treatment of the data?” Most companies involved in the analytics of such data are taking a much stronger stance on the ethics question as well as on compliance. 
Q16|Carl Miller|The industry has failed, as yet, to create a set of best practice guidelines. 
Q16|Sureyya Cansoy|We are hoping that some of the work that we are involved in through the data principles will address that, as I outlined earlier. 
Q17|Graham Stringer|You touched on this in your earlier answers, but do you have concerns that the data you are collecting has not had informed consent from the individuals concerned? 
Q17|Timo Hannay|I am somewhat concerned about that. As I say, the use to which we put the data would, I hope, be considered by most people as uncontroversial, but it would certainly give us greater comfort if there was as much transparency as possible in how the data were being used, and that people were aware of that. 
Q18|Graham Stringer|Do you think that that would come from the original contract with the website? 
Q18|Timo Hannay|Possibly, yes. I do not have a strong opinion about the mechanics of how it should happen, partly because there is such diversity of data sources and services that it differs according to which website or service we are talking about. It would inevitably have to involve them, because they are the ones with the relationship with the user. 
Q18|Carl Miller|There was a wonderful statistic that if you read all the terms and conditions on the internet you would spend a month every year on it. I would love to see a kitemarking regime, where an independent body could authenticate whether or not the terms and conditions were clear. That is a basic responsibility for a platform. For us to have confidence that informed consent has been given between the creator of the data and the platform, we need to know that the terms and conditions are clear enough for that person to understand what is happening. The big concern is that technology is moving so quickly that informed consent, in the sense of knowing all the things that it is possible to understand by that data, is changing so rapidly that I do not know how it can be publicly achieved. 
Q19|Chair|It also needs to be consistent with the law of the country where the person resides. 
Q19|Carl Miller|Right. It is incredibly tangled. Legal jurisdiction is meeting rapid technological change and globalised information architectures. It is a really tricky problem, and informed consent in those conditions is something that is far from being clearly secured. Having said that, with some platforms, like Twitter, it is so unapologetically open; the first line is something like, “If you tweet, you are asking Twitter to make your tweet as public as possible. You understand that your tweet can go around the world.” Clear statements like that are helpful in informing people’s reasonable expectation about what can happen and what is possible with their tweets. The other reason that Twitter has its own “ology” is that, ethically, it is clearly the most straightforward source of data to use. 
Q19|Mr Heath|I wonder whether anyone has ever met anybody who had read all the terms and conditions before clicking on “I agree.” 
Q19|Chair|Or who understood them. 
Q20|Mr Heath|They will not understand them if they have not read them. 
Q20|Mr Heath|I think you are suggesting, Mr Miller, that Twitter is open about the purposes that it sets out for itself. I wonder whether other companies gather information at an early stage with a view to retention and sharing, or whether that is a secondary consideration—that the information is there and they then see whether it is useful. Do you see the difference between the two? I just wonder whether companies get unnecessary information from their clients, with a view to seeing who it is going to be useful to. 
Q20|Carl Miller|We are certainly seeing a subtle pivot towards more data-centric business models. That is because every time someone innovates a new way of using Facebook posts or tweets or anything like that, they make that data more valuable. Social media began basically as an advertising industry; it began as a way of bringing people to a place where you could advertise to them in ways that were highly defined and specific. Now, most social media platforms are looking at ways of leveraging their data that would be much more valuable than that, to gather and sell. The big data mentality is that if you have data, you want as much as possible. The basic premise is that data is valuable. For lots of companies, it is not just a platform; they are gathering as much data as they can get hold of, because they know that it is going to be valuable in future. 
Q20|Timo Hannay|Certainly that is the incentive. The simple answer to your question is that I do not know. By definition, if they are not making that data visible—at least not yet—we do not know what data they are gathering. The concern is, first, that it is opaque and, secondly, that the incentive is to gather as much data as possible precisely for the reasons that you explained. 
Q21|Mr Heath|When they gather a lot of information, the concept of anonymity becomes a bit of a nonsense, doesn’t it, given the technology that we have for putting a number of disparate bits of data together? I was going to mention earlier the Information Commissioner’s view on anonymity; I just do not believe in anonymity. 
Q21|Sureyya Cansoy|We had some further discussions with our member companies better to understand this point. We think that, overall, anonymity strengthens the privacy of individuals, as they are no longer personally identifiable. Of course, there is the possibility that, by merging more than one dataset, you may be able to re-identify some of those individuals. We have seen some examples, which we cited in our submission to you. 
Q21|Sureyya Cansoy|Having had further discussions with technology companies who understand this really well, their take on it is: “What is the motivation behind merging those different datasets to re-identify people?” If the motivation is just to show that, academically, it is possible to do it, then, yes, it is possible; but evidence of it happening on the ground is very limited, which is supported by the Information Commissioner’s Office. However, a greater risk is if somebody is after personal data or identity for criminal purposes. According to our member companies, it would be much quicker and faster to use cyber-attacks and hacking to obtain the information than to combine different sets of anonymised data. That tells us that perhaps it is much more important to focus on the security of the datasets being held. That is the view that we got from our companies. 
Q22|Mr Heath|I am sorry, Mr Miller; I interrupted you earlier. 
Q22|Carl Miller|There are two quick points. The datasets that we gather, as Demos and CASM, are large and aggregated. I do not care about individuals; I care about broad social trends, so I am not trying to identify anyone. I care about how people react to a policy announcement or a speech and stuff like that. 
Q22|Carl Miller|De-anonymisation is a technology; there are ways in which you can attack anonymity, and they are being sketched out in the EU data protection regulations at the moment. It is always going to be a changing field; there will always be an arms race between anonymisation techniques and de-anonymisation techniques, to try to find the find the right strategies to anonymise when you need to that are both not too onerous on the company and also relatively impervious to it. There have been a few mini-scandals, where academic papers using so-called anonymised data were published, yet within hours people managed to work out who the people were. It is a constantly changing landscape. 
Q22|Timo Hannay|A rule of thumb is that you should assume that any data out there publicly, even if it has been anonymised, will potentially become de-anonymised. You never know what technologies or other information will become available. It is dangerous to assume that so-called anonymous data will remain anonymous, so I agree with the premise of your question. 
Q23|Mr Heath|Mr Miller, you mentioned EU legislation. We have the Data Protection Act. Is it fit for purpose? Does it get the balance right at the moment in terms of the burdens that it places on the industry and the protection of the individual? Will the proposed EU legislation pose difficulties or is it moving in the right direction? 
Q23|Sureyya Cansoy|I shall try to answer that from the techUK perspective. Having spoken to several technology companies, we believe that the UK data protection framework is broadly fit for purpose. Having said that, we need to consider the implications of the new digital age on laws that came into force before then. There are a few suggestions from member companies on how that can be addressed, for example, in terms of guidance rather than additional legislation, which we touched on in our submission to the Committee. 
Q23|Sureyya Cansoy|In terms of the proposed EU data protection regulation, we completely support the need to have a robust, flexible and fit-for-purpose data protection regime. I cannot stress enough how important this is for the technology industry. We need to assure the customers of our members of the privacy and security of their data. We also understand, as I said, that the new digital age means that rules that date back 20 or 25 years need to be looked at again. However, we think that the proposed EU data protection regulation is not the right mechanism. As it stands, we think that it would be very damaging to businesses across industry—the tech industry definitely, but also a number of others. We believe that it would hit jobs and growth. An estimate by Deloitte suggests that the EU could lose as many as 2.8 million jobs as a result. 
Q24|Mr Heath|Is that figure just plucked out of the air, or does it have some substance? 
