paraNo,theme,wholeOrHalf
451,ethics,1
453,barriers,.5
453,ethics,.5
455,ethics,1
456,ethics,1
457,ethics,1
459,ethics,1
461,ethics,1
463,ethics,1
465,ethics,1
467,ethics,1
469,ethics,1
471,ethics,1
473,barriers,1
475,barriers,.5
475,ethics,.5
477,barriers,.5
477,ethics,.5
478,barriers,.5
478,ethics,.5
479,barriers,.5
479,ethics,.5
481,barriers,.5
481,ethics,.5
483,barriers,.5
483,ethics,.5
484,barriers,.5
484,ethics,.5
485,barriers,.5
485,ethics,.5
486,barriers,.5
486,ethics,.5
489,barriers,.5
489,ethics,.5
491,barriers,.5
491,ethics,.5
493,barriers,.5
493,ethics,.5
495,barriers,.5
495,ethics,.5
497,barriers,.5
497,ethics,.5
498,barriers,.5
498,ethics,.5
499,barriers,.5
499,ethics,.5
500,barriers,.5
500,ethics,.5
501,barriers,.5
501,ethics,.5
502,barriers,.5
502,ethics,.5
503,legislation,1
504,legislation,1
506,ethics,1
507,ethics,1
508,ethics,1
509,ethics,1
511,ethics,1
512,ethics,1
513,ethics,1
514,ethics,1
516,barriers,1
518,barriers,1
519,barriers,1
521,benefits,1
523,benefits,.5
523,barriers,.5
524,benefits,.5
524,barriers,.5
525,benefits,.5
525,barriers,.5
526,benefits,.5
526,barriers,.5
530,legislation,1
531,legislation,1
532,barriers,.5
532,legislation,.5
533,barriers,.5
533,legislation,.5
538,legislation,1
539,legislation,1
540,legislation,1
541,legislation,1
542,legislation,1
549,ethics,1
550,ethics,.5
550,legislation,.5
551,ethics,1
553,ethics,1
555,ethics,1
556,barriers,.5
556,ethics,.5
557,ethics,1
559,ethics,.5
559,legislation,.5
560,ethics,.5
560,legislation,.5
562,ethics,.5
562,legislation,.5
563,ethics,.5
563,legislation,.5
564,ethics,.5
564,legislation,.5
566,ethics,.5
566,legislation,.5
567,legislation,1
568,ethics,.5
568,legislation,.5
569,ethics,.5
569,legislation,.5
571,ethics,1
572,ethics,.5
572,legislation,.5
574,ethics,1
576,ethics,1
578,ethics,1
579,ethics,1
581,ethics,1
583,ethics,1
585,ethics,1
587,ethics,1
588,ethics,1
590,ethics,1
592,ethics,1
594,ethics,1
596,ethics,1
598,ethics,1
599,ethics,1
601,ethics,1
603,ethics,1
605,ethics,1
607,ethics,1
609,ethics,1
610,ethics,1
612,ethics,1
614,ethics,1
615,ethics,1
616,ethics,1
617,ethics,1
619,ethics,1
620,ethics,1
622,legislation,1
624,ethics,1
626,benefits,1
628,benefits,1
630,barriers,1
631,barriers,1
632,barriers,1
634,benefits,.5
634,ethics,.5
636,ethics,1
638,ethics,.5
638,legislation,.5
640,ethics,1
642,ethics,1
644,ethics,1
646,ethics,1
647,ethics,1
649,ethics,1
653,benefits,1
655,benefits,1
656,benefits,1
658,benefits,1
659,benefits,1
661,benefits,1
662,benefits,1
664,benefits,1
666,benefits,1
668,benefits,1
672,barriers,1
676,benefits,1
678,barriers,1
680,barriers,1
681,barriers,1
683,ethics,1
684,ethics,1
685,ethics,1
687,ethics,1
689,ethics,1
691,ethics,1
693,legislation,1
695,legislation,1
697,ethics,1
697,legislation,
699,legislation,1
701,legislation,1
703,legislation,1
705,legislation,1
706,barriers,.5
706,legislation,.5
707,barriers,.5
707,ethics,.5
708,barriers,.5
708,ethics,.5
709,barriers,.5
709,ethics,.5
710,barriers,.5
710,ethics,.5
712,barriers,.5
712,ethics,.5
716,barriers,.5
716,ethics,.5
718,barriers,.5
718,ethics,.5
720,ethics,.5
720,legislation,.5
722,ethics,.5
722,legislation,.5
724,ethics,1
725,ethics,1
726,ethics,1
728,barriers,1
729,barriers,1
